股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sz300001,特锐德,2016-12-14,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,17.920000,18.150000,17.780000,17.950000,123.455172,17.950000,0.002233,3672750.000000,65926033.430000,0.004331,15220848577.100000,17906382846.250000,0.000000,0.000000,123.464433,5.443150,31.114632,6.922751,18.592000,19.413000,19.815000,19.945333,20.069167,,-0.468749,-0.193995,-0.549509,,9.201464,14.951129,-2.297866,,19.927000,21.323005,18.530995,41.666667,38.888889,10.625150,18.580175,28.031878,0.020659,0.627707
sz300001,特锐德,2016-12-13,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,17.990000,18.180000,17.780000,17.910000,123.180063,17.910000,0.000559,5509004.000000,99327341.900000,0.006497,15186930251.580000,17866480043.250000,0.000000,0.000000,123.189303,5.431020,31.045296,6.907324,19.014000,19.652000,19.927000,20.023333,20.109000,,-0.378780,-0.125306,-0.506948,,10.156363,17.825961,-5.182834,,20.046500,21.116155,18.976845,33.333333,40.277778,8.602288,17.434032,27.417158,0.022346,0.917492
sz300001,特锐德,2016-12-12,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,19.570000,19.660000,17.740000,17.900000,123.111285,17.900000,-0.081580,8676316.000000,161596933.490000,0.010232,15178450670.200001,17856504342.500000,0.000000,0.000000,123.120521,5.427988,31.027962,6.903467,19.436000,19.882000,20.046500,20.104667,20.158500,,-0.254364,-0.061937,-0.384854,,12.419975,21.660761,-6.061597,,20.169000,20.655751,19.682249,33.333333,43.055556,8.169278,17.166814,27.268319,0.098512,1.478408
sz300001,特锐德,2016-12-09,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,19.770000,19.850000,19.350000,19.490000,134.046869,19.490000,-0.011162,5701890.000000,111573289.040000,0.006724,16526704109.620001,19442640761.750000,0.000000,0.000000,134.056924,5.910139,33.784077,7.516680,19.898000,20.116000,20.169000,20.181667,20.207833,10日、30日均线死叉；20日、30日均线死叉；,-0.090847,-0.013831,-0.154032,,15.980956,26.281154,-4.619440,,20.211500,20.611719,19.811281,33.333333,45.833333,21.944961,32.494870,39.660819,0.025368,1.169336
sz300001,特锐德,2016-12-08,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.060000,20.100000,19.700000,19.710000,135.559968,19.710000,-0.017448,5695347.000000,112855580.590000,0.006717,16713254899.980000,19662106178.250000,0.000000,0.000000,135.570137,5.976851,34.165426,7.601527,20.044000,20.204000,20.211500,20.193000,20.230167,5日、30日均线死叉；10日、20日均线死叉；,-0.042708,0.005423,-0.096262,,19.006894,31.431253,-5.841822,,20.241500,20.592555,19.890445,41.666667,48.611111,27.241692,36.644864,42.204118,0.019940,1.108007
sz300001,特锐德,2016-12-07,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.020000,20.120000,19.810000,20.060000,137.967172,20.060000,0.001998,4439513.000000,88555695.690000,0.005236,17010040248.280001,20011255704.500000,0.000000,0.000000,137.977522,6.082985,34.772118,7.736511,20.234000,20.244000,20.241500,20.194000,20.247333,5日、10日均线死叉；5日、20日均线死叉；5日、60日均线死叉；10日、60日均线死叉；,-0.003044,0.017456,-0.041001,,28.038644,37.643432,8.829068,,20.237000,20.579974,19.894026,50.000000,48.611111,40.060754,45.031929,46.777469,0.015485,0.641124
sz300001,特锐德,2016-12-06,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.250000,20.390000,20.020000,20.020000,137.692063,20.020000,-0.009401,4830380.000000,97535484.090000,0.005696,16976121922.760000,19971352901.500000,0.000000,0.000000,137.702392,6.070856,34.702782,7.721084,20.290000,20.270000,20.237000,20.183333,20.255000,1日、30日均线死叉；,0.011989,0.022581,-0.021185,死叉,28.900071,42.445826,1.808561,,20.243000,20.574576,19.911424,50.000000,47.222222,37.248484,43.681565,46.138222,0.018308,0.630785
sz300001,特锐德,2016-12-05,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.050000,20.480000,20.010000,20.210000,138.998831,20.210000,-0.000495,3713753.000000,75173363.500000,0.004380,17137233968.980000,20160891215.750000,0.000000,0.000000,139.009258,6.128471,35.032129,7.794362,20.328000,20.294000,20.243000,20.180333,20.260833,,0.035075,0.025229,0.019691,,42.683439,49.218703,29.612912,,20.240500,20.574904,19.906096,50.000000,47.222222,45.744062,48.913659,48.806696,0.023244,0.475937
sz300001,特锐德,2016-12-02,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.550000,20.620000,20.210000,20.220000,139.067608,20.220000,-0.021297,7021879.000000,143201234.630000,0.008281,17145713550.360001,20170866916.500000,0.000000,0.000000,139.078041,6.131503,35.049463,7.798218,20.334000,20.283000,20.240500,20.172333,20.262333,1日、5日均线死叉；1日、10日均线死叉；1日、20日均线死叉；1日、60日均线死叉；,0.044685,0.022768,0.043835,,50.691826,52.486335,47.102807,死叉,20.236500,20.571945,19.901055,50.000000,48.611111,46.206284,49.197963,48.949491,0.019845,0.863690
sz300001,特锐德,2016-12-01,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.380000,20.760000,20.310000,20.660000,142.093808,20.660000,0.015733,14617342.000000,300758203.780000,0.017238,17518815131.080002,20609797749.500000,0.000000,0.000000,142.104467,6.264929,35.812161,7.967912,20.364000,20.270000,20.236500,20.159667,20.267833,5日、60日均线金叉；10日、60日均线金叉；,0.055284,0.017289,0.075990,,62.524225,53.383590,80.805496,,20.211500,20.490414,19.932586,50.000000,48.611111,73.401467,64.263322,55.838142,0.022124,1.843038
